1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:02:46 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:02:46 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:02:48 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:02:48 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:02:48 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:02:49 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:02:49 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:02:49 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:02:49 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:02:49 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:02:49 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:02:49 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:02:49 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:02:49 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:02:51 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:02:51 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:02:51 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:02:52 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:02:52 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:02:52 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:02:52 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:02:52 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:02:52 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:02:52 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:02:52 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:02:52 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:02:54 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:02:54 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:02:54 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:02:55 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:02:55 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:02:55 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:02:55 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:02:55 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:02:55 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:02:55 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:02:55 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:02:55 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:02:57 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:02:57 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:02:57 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:02:58 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:02:58 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:02:58 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:02:58 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:02:58 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:02:58 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:02:58 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:02:58 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:02:58 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:00 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:00 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:00 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:01 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:01 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:01 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:01 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:01 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:01 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:01 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:01 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:01 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:03 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:03 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:03 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:04 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:04 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:04 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:04 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:04 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:04 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:04 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:04 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:04 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:06 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:06 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:06 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:07 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:07 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:07 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:07 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:07 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:07 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:07 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:07 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:07 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:09 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:09 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:09 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:10 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:10 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:10 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:10 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:10 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:10 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:10 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:10 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:10 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:12 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:12 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:12 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:13 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:13 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:13 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:13 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:13 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:13 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:13 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:13 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:13 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:15 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:15 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:15 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:16 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:16 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:16 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:16 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:16 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:16 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:16 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:16 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:16 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:18 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:18 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:18 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:19 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:19 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:19 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:19 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:19 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:19 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:19 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:19 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:19 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:21 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:21 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:21 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:22 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:22 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:22 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:22 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:22 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:22 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:22 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:22 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:22 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:24 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:24 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:24 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:25 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:25 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:25 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:25 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:25 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:25 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:25 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:25 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:25 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:27 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:27 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:27 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:28 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:28 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:28 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:28 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:28 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:28 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:28 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:28 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:28 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:30 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:30 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:30 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:31 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:31 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:31 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:31 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:31 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:31 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:31 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:31 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:33 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:33 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:33 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:34 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:34 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:34 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:34 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:34 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:34 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:34 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:34 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:34 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:03:36 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:03:36 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:03:36 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:03:37 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:03:37 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:03:37 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:03:37 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:03:37 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:03:37 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:03:37 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:03:37 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:03:37 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:05 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:10:05 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:10:05 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:05 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:05 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:05 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:05 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:10:05 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:10:05 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:10:07 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:10:07 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:10:07 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:10:08 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:10:08 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:10:08 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:08 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:08 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:08 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:08 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:10:08 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:10:08 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:10:10 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:10:10 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:10:10 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:10:11 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:11 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:11 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:11 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:10:11 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:10:11 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:10:11 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:10:11 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:10:11 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:13 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:10:13 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:10:13 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:10:14 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:14 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:14 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:14 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:10:14 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:10:14 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:10:14 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:10:14 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:10:14 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:16 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:10:16 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:10:16 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:10:17 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:17 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:17 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:17 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 2:10:17 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 2:10:17 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 2:10:17 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 2:10:17 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 2:10:17 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 2:10:19 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 2:10:19 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 2:10:19 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 2:10:20 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 2:10:20 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 2:10:20 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 2:10:20 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
